업종중분류명,지역명,비율
음식,충청북도 청주시 상당구,44.0
문화관광,충청북도 청주시 상당구,16.7
기타관광,충청북도 청주시 상당구,12.6
숙박,충청북도 청주시 상당구,6.7
레저스포츠,충청북도 청주시 상당구,5.8
역사관광,충청북도 청주시 상당구,5.8
자연관광,충청북도 청주시 상당구,4.7
쇼핑,충청북도 청주시 상당구,3.8
체험관광,충청북도 청주시 상당구,0.0
