소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.2,0.8
60대,6.3,3.5
50대,14.2,9.0
40대,16.9,9.5
30대,16.2,8.9
20대,7.3,5.6
10대,0.1,0.1
