기준연월,동반유형명,언급건수
202204,기타가족,8745
202204,친구,4357
202204,부모님,3806
202204,자녀,3802
202204,회사동료,2538
202204,배우자,2092
202204,싱글,1631
202204,연인,1614
202204,학생,778
