순위,분류,관련 키워드,언급건수
275,배우자,안사람,1
275,자녀,셋째아이,1
275,자녀,작은놈,1
275,자녀,외동아들,1
275,회사동료,직장상사,1
275,부모님,시아빠,1
275,부모님,할마,1
275,자녀,둥이맘,1
275,친구,남자사람친구,1
275,자녀,첫아들,1
275,기타가족,큰며느리,1
275,배우자,울와이프,1
275,부모님,시엄마,1
275,배우자,남편느님,1
275,배우자,아자씨,1
275,기타가족,첫손주,1
275,배우자,남의편,1
275,부모님,시엄니,1
275,친구,여사친,1
275,연인,보이프렌드,1
275,자녀,전업맘,1
275,싱글,혼행,1
275,자녀,저희애,1
275,학생,초4,1
