업종중분류명,현지인 검색비율,외지인 검색비율
음식,49.4,38.2
기타관광,16.1,14.7
쇼핑,11.0,17.1
문화관광,10.3,10.4
레저스포츠,5.5,11.3
숙박,3.9,4.4
역사관광,1.8,1.8
자연관광,1.7,1.8
체험관광,0.3,0.2
