거리구분명,방문자수,방문자비율
30km 미만,1404714.0,42.27
30km 이상 70km 미만,1560492.0,46.96
70km 이상 140km 미만 ,171944.0,5.17
140km 이상 190km 미만,54516.0,1.64
190km 이상 240km 미만,27923.0,0.84
240km 이상 ,103677.0,3.12
