국가명,비율(%)
중국,30.11
기타,20.58
미국,11.02
필리핀,8.5
인도네시아,7.44
인도,3.61
베트남,2.52
일본,2.49
태국,2.09
프랑스,2.06
러시아,1.95
독일,1.75
영국,1.14
캐나다,1.12
튀르키예,0.89
멕시코,0.6
카자흐스탄,0.57
말레이시아,0.52
싱가포르,0.26
몽골,0.26
대만,0.23
사우디아라비아,0.2
아랍에미리트,0.09
홍콩,0.03
