방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.5,2.2
60~69세,8.6,4.9
50~59세,13.8,7.9
40~49세,12.2,6.4
30~39세,10.6,6.5
20~29세,12.6,6.6
10~19세,2.4,1.8
0~9세,0.5,0.5
