유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,카페/찻집,43.5,27.4
음식,전문음식,43.5,18.9
음식,음식점기타,43.5,0.3
음식,외국식,43.5,8.2
음식,간이음식,43.5,10.0
음식,한식,43.5,35.1
기타관광,기타관광,17.3,100.0
쇼핑,시장,15.7,1.8
쇼핑,쇼핑몰,15.7,93.7
쇼핑,기타쇼핑시설,15.7,4.5
문화관광,테마공원,10.4,5.7
문화관광,공연시설,10.4,12.9
문화관광,기타문화관광지,10.4,3.5
문화관광,도시공원,10.4,59.8
문화관광,랜드마크관광,10.4,3.4
문화관광,레저스포츠시설,10.4,5.5
문화관광,복합관광시설,10.4,5.6
문화관광,전시시설,10.4,3.7
레저스포츠,육상레저스포츠,6.6,93.1
레저스포츠,수상레저스포츠,6.6,5.1
레저스포츠,기타레저스포츠,6.6,1.8
자연관광,자연공원,2.3,34.1
자연관광,자연경관(하천/해양),2.3,8.6
자연관광,자연경관(산),2.3,57.4
역사관광,역사유물,2.1,0.6
역사관광,역사유적지,2.1,34.3
역사관광,종교성지,2.1,65.1
숙박,캠핑,2.0,52.0
숙박,호텔,2.0,16.5
숙박,콘도미니엄,2.0,1.5
숙박,모텔,2.0,29.6
숙박,기타숙박,2.0,0.4
체험관광,농/산/어촌체험,0.1,83.3
체험관광,웰니스관광,0.1,16.7
