업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,93,107,-13.1,20919,18716,11.8
레저스포츠,1054,946,11.4,20919,18716,11.8
문화관광,1423,1064,33.7,20919,18716,11.8
쇼핑,5918,6772,-12.6,20919,18716,11.8
숙박,307,226,35.8,20919,18716,11.8
역사관광,730,614,18.9,20919,18716,11.8
음식,11323,8916,27.0,20919,18716,11.8
자연관광,3,4,-25.0,20919,18716,11.8
체험관광,68,67,1.5,20919,18716,11.8
