유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,52.9,9.7
음식,외국식,52.9,8.5
음식,음식점기타,52.9,0.2
음식,전문음식,52.9,17.7
음식,카페/찻집,52.9,31.2
음식,한식,52.9,32.6
쇼핑,시장,11.7,3.3
쇼핑,쇼핑몰,11.7,93.8
쇼핑,기타쇼핑시설,11.7,2.9
문화관광,테마공원,11.0,7.3
문화관광,전시시설,11.0,4.8
문화관광,복합관광시설,11.0,7.9
문화관광,레저스포츠시설,11.0,2.3
문화관광,랜드마크관광,11.0,3.2
문화관광,도시공원,11.0,51.6
문화관광,기타문화관광지,11.0,9.0
문화관광,공연시설,11.0,13.8
기타관광,기타관광,10.9,100.0
레저스포츠,육상레저스포츠,6.2,94.0
레저스포츠,수상레저스포츠,6.2,5.2
레저스포츠,기타레저스포츠,6.2,0.8
숙박,캠핑,3.2,40.9
숙박,호텔,3.2,37.4
숙박,펜션/민박,3.2,0.1
숙박,콘도미니엄,3.2,0.6
숙박,모텔,3.2,20.8
숙박,기타숙박,3.2,0.2
자연관광,자연경관(산),1.9,38.7
자연관광,자연경관(하천/해양),1.9,7.5
자연관광,자연공원,1.9,53.8
역사관광,역사유적지,1.6,24.1
역사관광,종교성지,1.6,75.8
역사관광,역사유물,1.6,0.2
체험관광,농/산/어촌체험,0.6,93.6
체험관광,웰니스관광,0.6,6.4
