업종중분류명,지역명,비율
음식,경상남도 김해시,42.1
쇼핑,경상남도 김해시,25.2
문화관광,경상남도 김해시,10.8
레저스포츠,경상남도 김해시,6.4
숙박,경상남도 김해시,5.9
기타관광,경상남도 김해시,5.0
역사관광,경상남도 김해시,3.1
자연관광,경상남도 김해시,1.1
체험관광,경상남도 김해시,0.4
