지표 코드,지표명,지표 순위값,지역명
1,방문자유입,72,연수구
2,숙박방문자 비율,82,연수구
3,체류시간,100,연수구
4,목적지 검색량,18,연수구
5,관광소비,49,연수구
1,방문자유입,73,서구
2,숙박방문자 비율,47,서구
3,체류시간,92,서구
4,목적지 검색량,76,서구
5,관광소비,22,서구
1,방문자유입,35,파주시
2,숙박방문자 비율,50,파주시
3,체류시간,147,파주시
4,목적지 검색량,3,파주시
5,관광소비,13,파주시
1,방문자유입,38,김포시
2,숙박방문자 비율,52,김포시
3,체류시간,103,김포시
4,목적지 검색량,19,김포시
5,관광소비,16,김포시
