성/연령,지역명,비율
50대 남성,경기도 파주시,11.4
40대 남성,경기도 파주시,11.2
20대 남성,경기도 파주시,10.4
30대 남성,경기도 파주시,9.9
50대 여성,경기도 파주시,9.0
40대 여성,경기도 파주시,8.2
30대 여성,경기도 파주시,7.9
60대 남성,경기도 파주시,6.9
20대 여성,경기도 파주시,6.7
60대 여성,경기도 파주시,5.2
10대 남성,경기도 파주시,3.5
10대 여성,경기도 파주시,3.2
70대 이상 남성,경기도 파주시,2.7
70대 이상 여성,경기도 파주시,2.4
10대 미만 여성,경기도 파주시,0.7
10대 미만 남성,경기도 파주시,0.6
