소비자 연령,비율(남성),비율(여성)
80대,0.3,0.3
70대,1.4,0.9
60대,7.7,4.2
50대,15.2,9.0
40대,17.5,9.8
30대,15.1,8.4
20대,5.7,4.2
10대,0.1,0.1
