업종중분류명,지역명,비율
음식,인천광역시 연수구,36.5
쇼핑,인천광역시 연수구,28.4
문화관광,인천광역시 연수구,16.1
숙박,인천광역시 연수구,12.0
레저스포츠,인천광역시 연수구,3.4
자연관광,인천광역시 연수구,1.8
기타관광,인천광역시 연수구,1.3
역사관광,인천광역시 연수구,0.4
체험관광,인천광역시 연수구,0.0
