유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,72.4,9.8
음식,한식,72.4,32.2
음식,카페/찻집,72.4,28.1
음식,외국식,72.4,10.4
음식,음식점기타,72.4,0.1
음식,전문음식,72.4,19.3
문화관광,전시시설,11.4,6.9
문화관광,테마공원,11.4,2.8
문화관광,복합관광시설,11.4,5.1
문화관광,레저스포츠시설,11.4,1.1
문화관광,랜드마크관광,11.4,2.9
문화관광,도시공원,11.4,24.4
문화관광,도시/지역문화관광,11.4,0.1
문화관광,기타문화관광지,11.4,9.2
문화관광,공연시설,11.4,47.5
기타관광,기타관광,7.2,100.0
숙박,기타숙박,3.6,0.4
숙박,모텔,3.6,30.5
숙박,캠핑,3.6,28.7
숙박,콘도미니엄,3.6,1.3
숙박,펜션/민박,3.6,0.5
숙박,호텔,3.6,38.6
레저스포츠,기타레저스포츠,2.5,2.1
레저스포츠,육상레저스포츠,2.5,85.5
레저스포츠,수상레저스포츠,2.5,12.4
역사관광,역사유적지,1.1,18.2
역사관광,종교성지,1.1,81.4
역사관광,역사유물,1.1,0.3
쇼핑,시장,0.9,58.4
쇼핑,쇼핑몰,0.9,14.0
쇼핑,기타쇼핑시설,0.9,27.6
자연관광,자연경관(산),0.6,73.9
자연관광,자연경관(하천/해양),0.6,12.7
자연관광,자연공원,0.6,13.4
체험관광,농/산/어촌체험,0.3,88.3
체험관광,웰니스관광,0.3,11.7
