업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당DT점,64.0,1
음식,더티트렁크,23.0,2
음식,뮌스터담,20.0,3
음식,훈장골/파주점,19.0,4
음식,곤트란쉐리에/파주점,18.0,5
음식,평양손만두/파주운정점,18.0,6
음식,내사랑동까스,16.0,7
음식,라플란드,13.0,8
음식,말똥도넛디저트타운/파주점,11.0,9
음식,또오리/파주일산점,9.0,10
쇼핑,신세계프리미엄아울렛/파주점,280.0,1
쇼핑,롯데프리미엄아울렛/파주점,240.0,2
쇼핑,이마트/파주운정점,147.0,3
쇼핑,홈플러스/파주운정점,123.0,4
쇼핑,이마트/파주점,18.0,5
쇼핑,문산자유시장,5.0,6
쇼핑,홈플러스/파주문산점,4.0,7
쇼핑,운정가구타운,3.0,8
쇼핑,금촌전통시장,2.0,9
쇼핑,봉일천종합시장,1.0,10
문화관광,CGV/파주야당,19.0,1
문화관광,운정호수공원,15.0,2
문화관광,평화누리,12.0,3
문화관광,콰트로박스,12.0,4
문화관광,메가박스/파주운정,11.0,5
문화관광,롯데시네마/파주운정,10.0,6
문화관광,메가박스/파주출판도시,6.0,7
문화관광,명필름아트센터,6.0,8
문화관광,퍼스트가든,6.0,9
문화관광,새암공원,5.0,10
