소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.4,1.0
60대,6.7,4.0
50대,15.2,9.5
40대,17.1,9.6
30대,15.1,8.5
20대,6.6,4.6
10대,0.1,0.1
