소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.9
60대,5.9,3.6
50대,13.4,9.0
40대,16.7,10.1
30대,16.1,9.0
20대,8.4,5.1
10대,0.1,0.1
