순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202104,82478,82478.0
2,경기도,파주시,벽초지수목원,202104,59464,59464.0
3,경기도,파주시,퍼스트가든,202104,31953,31953.0
4,경기도,파주시,헤이리예술마을,202104,28020,28020.0
5,경기도,파주시,공릉관광지(하니랜드),202104,17561,17561.0
6,경기도,파주시,서서울컨트리클럽,202104,11480,11480.0
7,경기도,파주시,통일전망대,202104,9752,9752.0
8,경기도,파주시,서원밸리골프클럽,202104,8364,8364.0
9,경기도,파주시,율곡선생유적지,202104,5324,5324.0
10,경기도,파주시,파주삼릉,202104,4836,4836.0
11,경기도,파주시,황희선생유적지,202104,4384,4384.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202104,4240,4240.0
13,경기도,파주시,우농타조농장,202104,2880,2880.0
14,경기도,파주시,베스트밸리,202104,2786,2786.0
15,경기도,파주시,파주장릉,202104,2547,2547.0
16,경기도,파주시,제3땅굴,202104,1978,1978.0
17,경기도,파주시,소울원,202104,1703,1703.0
18,경기도,파주시,황포돛배,202104,1438,1438.0
19,경기도,파주시,산머루농원,202104,860,860.0
20,경기도,파주시,쇠꼴마을,202104,520,520.0
21,경기도,파주시,영집궁시박물관,202104,189,189.0
22,경기도,파주시,두루뫼박물관,202104,183,183.0
