지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,888.0,2.91
41113,수원시 권선구,1065.0,2.86
41115,수원시 팔달구,614.0,2.55
41117,수원시 영통구,883.0,2.91
41131,성남시 수정구,946.0,2.93
41133,성남시 중원구,1060.0,2.71
41135,성남시 분당구,887.0,3.03
41150,의정부시,1320.0,2.89
41171,안양시 만안구,1015.0,2.86
41173,안양시 동안구,989.0,2.88
41190,부천시,1316.0,2.97
41210,광명시,796.0,2.87
41220,평택시,2270.0,3.01
41250,동두천시,1291.0,2.82
41271,안산시 상록구,1589.0,2.91
41273,안산시 단원구,1132.0,2.7
41281,고양시 덕양구,970.0,2.98
41285,고양시 일산동구,862.0,2.95
41287,고양시 일산서구,850.0,2.95
41290,과천시,667.0,3.17
41310,구리시,601.0,2.83
41360,남양주시,1255.0,2.9
41370,오산시,1336.0,2.95
41390,시흥시,1178.0,2.87
41410,군포시,1188.0,2.93
41430,의왕시,631.0,2.83
41450,하남시,777.0,2.95
41461,용인시 처인구,1091.0,2.75
41463,용인시 기흥구,1062.0,2.98
41465,용인시 수지구,1253.0,3.02
41480,파주시,1255.0,2.88
41500,이천시,1304.0,2.97
41550,안성시,1021.0,2.83
41570,김포시,1291.0,2.95
41590,화성시,1422.0,2.85
41610,광주시,982.0,2.82
41630,양주시,1108.0,2.79
41650,포천시,1187.0,2.55
41670,여주시,1126.0,2.77
41800,연천군,1298.0,2.58
41820,가평군,946.0,2.24
41830,양평군,844.0,2.43
