거리구분명,방문자수,방문자비율
30km 미만,1541978.0,43.47
30km 이상 70km 미만,1662444.0,46.87
70km 이상 140km 미만 ,154108.0,4.34
140km 이상 190km 미만,56672.0,1.6
190km 이상 240km 미만,26320.0,0.74
240km 이상 ,105424.0,2.97
