업종중분류명,현지인 검색비율,외지인 검색비율
음식,49.5,38.0
기타관광,16.5,16.2
문화관광,11.0,12.2
쇼핑,10.4,16.8
레저스포츠,5.2,9.2
숙박,4.0,4.0
역사관광,1.8,1.7
자연관광,1.6,1.6
체험관광,0.2,0.2
