유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,16.3,29.7
기타관광,기타관광,16.3,70.3
레저스포츠,기타레저스포츠,8.5,5.6
레저스포츠,수상레저스포츠,8.5,5.2
레저스포츠,육상레저스포츠,8.5,89.2
문화관광,기타문화관광지,12.0,2.6
문화관광,도시/지역문화관광,12.0,0.0
문화관광,도시공원,12.0,35.3
문화관광,랜드마크관광,12.0,5.6
문화관광,복합관광시설,12.0,8.0
문화관광,테마공원,12.0,17.1
문화관광,레저스포츠시설,12.0,0.7
문화관광,공연시설,12.0,22.5
문화관광,전시시설,12.0,8.2
쇼핑,쇼핑몰,15.7,94.1
쇼핑,시장,15.7,4.0
쇼핑,기타쇼핑시설,15.7,1.9
숙박,기타숙박,4.0,0.1
숙박,모텔,4.0,28.2
숙박,펜션/민박,4.0,12.1
숙박,호스텔,4.0,3.5
숙박,호텔,4.0,25.9
숙박,캠핑,4.0,30.3
역사관광,역사유물,1.7,3.2
역사관광,역사유적지,1.7,34.3
역사관광,종교성지,1.7,62.5
음식,간이음식,40.0,11.2
음식,외국식,40.0,6.2
음식,음식점기타,40.0,0.4
음식,전문음식,40.0,16.7
음식,한식,40.0,33.0
음식,카페/찻집,40.0,32.6
자연관광,자연경관(하천/해양),1.6,20.9
자연관광,자연경관(산),1.6,54.6
자연관광,자연공원,1.6,24.5
체험관광,농/산/어촌체험,0.2,87.5
체험관광,웰니스관광,0.2,8.5
체험관광,공예체험,0.2,4.0
