방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.4,2.3
60~69세,8.2,5.0
50~59세,13.1,8.1
40~49세,11.8,6.8
30~39세,11.1,7.4
20~29세,11.3,6.9
10~19세,2.4,1.9
0~9세,0.5,0.6
