국가명,비율(%)
중국,30.2
기타,22.8
미국,10.06
필리핀,6.78
인도네시아,5.26
일본,4.91
베트남,2.7
프랑스,2.33
독일,2.33
인도,2.28
러시아,2.07
태국,1.47
영국,1.42
캐나다,1.35
튀르키예,1.02
멕시코,0.75
말레이시아,0.63
카자흐스탄,0.54
대만,0.44
싱가포르,0.26
아랍에미리트,0.14
사우디아라비아,0.09
몽골,0.09
홍콩,0.07
