year,month,지표 코드,지표명,지표 순위값,지역명
2024,10,1,방문자유입,62,연수구
2024,10,2,숙박방문자 비율,81,연수구
2024,10,3,체류시간,89,연수구
2024,10,4,목적지 검색량,13,연수구
2024,10,5,관광소비,37,연수구
2024,10,1,방문자유입,46,시흥시
2024,10,2,숙박방문자 비율,53,시흥시
2024,10,3,체류시간,112,시흥시
2024,10,4,목적지 검색량,25,시흥시
2024,10,5,관광소비,26,시흥시
2024,10,1,방문자유입,53,파주시
2024,10,2,숙박방문자 비율,41,파주시
2024,10,3,체류시간,59,파주시
2024,10,4,목적지 검색량,5,파주시
2024,10,5,관광소비,20,파주시
2024,10,1,방문자유입,55,김포시
2024,10,2,숙박방문자 비율,57,김포시
2024,10,3,체류시간,80,김포시
2024,10,4,목적지 검색량,11,김포시
2024,10,5,관광소비,21,김포시
