year,month,지표 코드,지표명,지표 순위값,지역명
2024,11,1,방문자유입,61,평택시
2024,11,2,숙박방문자 비율,28,평택시
2024,11,3,체류시간,5,평택시
2024,11,4,목적지 검색량,27,평택시
2024,11,5,관광소비,23,평택시
2024,11,1,방문자유입,50,시흥시
2024,11,2,숙박방문자 비율,54,시흥시
2024,11,3,체류시간,95,시흥시
2024,11,4,목적지 검색량,29,시흥시
2024,11,5,관광소비,26,시흥시
2024,11,1,방문자유입,57,파주시
2024,11,2,숙박방문자 비율,42,파주시
2024,11,3,체류시간,50,파주시
2024,11,4,목적지 검색량,5,파주시
2024,11,5,관광소비,24,파주시
2024,11,1,방문자유입,58,김포시
2024,11,2,숙박방문자 비율,64,김포시
2024,11,3,체류시간,73,김포시
2024,11,4,목적지 검색량,18,김포시
2024,11,5,관광소비,20,김포시
