year,month,지표 코드,지표명,지표 순위값,지역명
2024,6,1,방문자유입,67,평택시
2024,6,2,숙박방문자 비율,35,평택시
2024,6,3,체류시간,7,평택시
2024,6,4,목적지 검색량,22,평택시
2024,6,5,관광소비,24,평택시
2024,6,1,방문자유입,60,용인시 처인구
2024,6,2,숙박방문자 비율,44,용인시 처인구
2024,6,3,체류시간,158,용인시 처인구
2024,6,4,목적지 검색량,8,용인시 처인구
2024,6,5,관광소비,28,용인시 처인구
2024,6,1,방문자유입,53,파주시
2024,6,2,숙박방문자 비율,41,파주시
2024,6,3,체류시간,81,파주시
2024,6,4,목적지 검색량,6,파주시
2024,6,5,관광소비,22,파주시
2024,6,1,방문자유입,58,김포시
2024,6,2,숙박방문자 비율,63,김포시
2024,6,3,체류시간,70,김포시
2024,6,4,목적지 검색량,17,김포시
2024,6,5,관광소비,21,김포시
