year,month,성/연령,지역명,비율
2025,8,30대 남성,경기도 수원시 권선구,11.4
2025,8,50대 남성,경기도 수원시 권선구,9.5
2025,8,40대 남성,경기도 수원시 권선구,9.4
2025,8,50대 여성,경기도 수원시 권선구,9.2
2025,8,30대 여성,경기도 수원시 권선구,9.1
2025,8,60대 남성,경기도 수원시 권선구,8.4
2025,8,20대 남성,경기도 수원시 권선구,7.9
2025,8,60대 여성,경기도 수원시 권선구,7.6
2025,8,40대 여성,경기도 수원시 권선구,7.1
2025,8,20대 여성,경기도 수원시 권선구,7.0
2025,8,70대 이상 여성,경기도 수원시 권선구,3.2
2025,8,70대 이상 남성,경기도 수원시 권선구,3.1
2025,8,10대 여성,경기도 수원시 권선구,3.0
2025,8,10대 남성,경기도 수원시 권선구,2.9
2025,8,10대 미만 여성,경기도 수원시 권선구,0.6
2025,8,10대 미만 남성,경기도 수원시 권선구,0.5
