year,month,성/연령,지역명,비율
2024,7,30대 남성,경기도 수원시 권선구,11.3
2024,7,50대 남성,경기도 수원시 권선구,10.0
2024,7,40대 남성,경기도 수원시 권선구,9.7
2024,7,50대 여성,경기도 수원시 권선구,9.7
2024,7,30대 여성,경기도 수원시 권선구,8.5
2024,7,60대 남성,경기도 수원시 권선구,8.2
2024,7,20대 남성,경기도 수원시 권선구,8.1
2024,7,60대 여성,경기도 수원시 권선구,7.4
2024,7,40대 여성,경기도 수원시 권선구,7.4
2024,7,20대 여성,경기도 수원시 권선구,6.9
2024,7,70대 이상 여성,경기도 수원시 권선구,2.9
2024,7,10대 남성,경기도 수원시 권선구,2.9
2024,7,70대 이상 남성,경기도 수원시 권선구,2.9
2024,7,10대 여성,경기도 수원시 권선구,2.8
2024,7,10대 미만 여성,경기도 수원시 권선구,0.7
2024,7,10대 미만 남성,경기도 수원시 권선구,0.6
