year,month,성/연령,지역명,비율
2024,11,50대 남성,경기도 용인시 처인구,11.2
2024,11,40대 남성,경기도 용인시 처인구,10.0
2024,11,30대 남성,경기도 용인시 처인구,9.7
2024,11,50대 여성,경기도 용인시 처인구,9.0
2024,11,60대 남성,경기도 용인시 처인구,8.7
2024,11,20대 남성,경기도 용인시 처인구,8.5
2024,11,40대 여성,경기도 용인시 처인구,7.4
2024,11,30대 여성,경기도 용인시 처인구,7.0
2024,11,20대 여성,경기도 용인시 처인구,6.8
2024,11,60대 여성,경기도 용인시 처인구,6.6
2024,11,10대 남성,경기도 용인시 처인구,3.8
2024,11,10대 여성,경기도 용인시 처인구,3.6
2024,11,70대 이상 남성,경기도 용인시 처인구,3.2
2024,11,70대 이상 여성,경기도 용인시 처인구,3.1
2024,11,10대 미만 여성,경기도 용인시 처인구,0.8
2024,11,10대 미만 남성,경기도 용인시 처인구,0.6
