year,month,지표 코드,지표명,지표 순위값,지역명
2025,4,1,방문자유입,56,평택시
2025,4,2,숙박방문자 비율,28,평택시
2025,4,3,체류시간,15,평택시
2025,4,4,목적지 검색량,21,평택시
2025,4,5,관광소비,30,평택시
2025,4,1,방문자유입,58,파주시
2025,4,2,숙박방문자 비율,46,파주시
2025,4,3,체류시간,54,파주시
2025,4,4,목적지 검색량,6,파주시
2025,4,5,관광소비,26,파주시
2025,4,1,방문자유입,62,김포시
2025,4,2,숙박방문자 비율,67,김포시
2025,4,3,체류시간,85,김포시
2025,4,4,목적지 검색량,19,김포시
2025,4,5,관광소비,21,김포시
2025,4,1,방문자유입,86,청주시 흥덕구
2025,4,2,숙박방문자 비율,75,청주시 흥덕구
2025,4,3,체류시간,77,청주시 흥덕구
2025,4,4,목적지 검색량,47,청주시 흥덕구
2025,4,5,관광소비,27,청주시 흥덕구
