소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.8
60대,6.0,3.7
50대,14.2,9.2
40대,16.7,10.0
30대,15.6,9.9
20대,7.0,5.2
10대,0.1,0.1
