업종대분류명,업종중분류명,중분류 소비액(천원)
쇼핑업,대형쇼핑몰,219491.0
쇼핑업,레저용품쇼핑,4466.0
쇼핑업,기타관광쇼핑,46829.0
숙박업,기타숙박,405.0
식음료업,일반외식업,21173.0
식음료업,제과음료업,5261.0
여가서비스업,관광유원시설,98.0
여가서비스업,골프장,23174.0
여가서비스업,기타레저,1619.0
여가서비스업,문화서비스,281.0
운송업,육상운송,14207.0
의료웰니스업,의료관광,2864.0
의료웰니스업,뷰티,1406.0
