순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202212,69738,69738.0
2,경기도,파주시,헤이리예술마을,202212,28736,28736.0
3,경기도,파주시,제3땅굴,202212,17103,17103.0
4,경기도,파주시,퍼스트가든,202212,16499,16499.0
5,경기도,파주시,통일전망대,202212,12580,12580.0
6,경기도,파주시,경기미래교육 파주캠퍼스,202212,3426,3426.0
7,경기도,파주시,공릉관광지(하니랜드),202212,3221,3221.0
8,경기도,파주시,벽초지수목원,202212,2467,2467.0
9,경기도,파주시,쇠꼴마을,202212,2421,2421.0
10,경기도,파주시,서원밸리골프클럽,202212,2258,2258.0
11,경기도,파주시,서서울컨트리클럽,202212,2007,2007.0
12,경기도,파주시,황희선생유적지,202212,1598,1598.0
13,경기도,파주시,파주삼릉,202212,1432,1432.0
14,경기도,파주시,율곡선생유적지,202212,1104,1104.0
15,경기도,파주시,우농타조농장,202212,1054,1054.0
16,경기도,파주시,파주장릉,202212,817,817.0
17,경기도,파주시,베스트밸리,202212,780,780.0
18,경기도,파주시,산머루농원,202212,640,640.0
19,경기도,파주시,두루뫼박물관,202212,213,213.0
20,경기도,파주시,영집궁시박물관,202212,46,46.0
