유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,50.3,10.8
음식,외국식,50.3,8.0
음식,음식점기타,50.3,0.4
음식,전문음식,50.3,17.7
음식,카페/찻집,50.3,32.1
음식,한식,50.3,31.1
쇼핑,시장,14.9,2.6
쇼핑,쇼핑몰,14.9,94.8
쇼핑,기타쇼핑시설,14.9,2.6
기타관광,기타관광,11.5,100.0
기타관광,교통시설,11.5,0.0
문화관광,전시시설,10.6,8.1
문화관광,테마공원,10.6,6.3
문화관광,복합관광시설,10.6,6.4
문화관광,레저스포츠시설,10.6,0.8
문화관광,랜드마크관광,10.6,3.0
문화관광,도시공원,10.6,37.4
문화관광,기타문화관광지,10.6,4.0
문화관광,공연시설,10.6,34.1
레저스포츠,육상레저스포츠,6.5,90.3
레저스포츠,수상레저스포츠,6.5,6.6
레저스포츠,기타레저스포츠,6.5,3.1
숙박,모텔,2.7,24.3
숙박,호텔,2.7,40.4
숙박,펜션/민박,2.7,0.1
숙박,콘도미니엄,2.7,1.3
숙박,캠핑,2.7,32.9
숙박,기타숙박,2.7,1.0
역사관광,역사유적지,1.5,25.8
역사관광,종교성지,1.5,72.6
역사관광,역사유물,1.5,1.6
자연관광,자연경관(산),1.5,60.2
자연관광,자연경관(하천/해양),1.5,7.4
자연관광,자연공원,1.5,32.4
체험관광,농/산/어촌체험,0.5,100.0
