방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.3,2.1
60~69세,7.5,4.4
50~59세,13.2,8.0
40~49세,12.3,7.1
30~39세,11.0,7.1
20~29세,12.5,6.8
10~19세,2.7,2.0
0~9세,0.5,0.5
