유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,17.7,34.8
기타관광,기타관광,17.7,65.2
레저스포츠,기타레저스포츠,10.4,2.9
레저스포츠,수상레저스포츠,10.4,3.7
레저스포츠,육상레저스포츠,10.4,93.4
문화관광,기타문화관광지,11.0,2.0
문화관광,도시공원,11.0,35.8
문화관광,랜드마크관광,11.0,6.2
문화관광,복합관광시설,11.0,5.3
문화관광,테마공원,11.0,12.0
문화관광,레저스포츠시설,11.0,2.6
문화관광,공연시설,11.0,30.1
문화관광,전시시설,11.0,5.8
쇼핑,쇼핑몰,16.8,92.7
쇼핑,시장,16.8,3.4
쇼핑,기타쇼핑시설,16.8,3.8
숙박,기타숙박,4.7,0.0
숙박,모텔,4.7,23.9
숙박,펜션/민박,4.7,21.4
숙박,호스텔,4.7,3.2
숙박,호텔,4.7,18.8
숙박,캠핑,4.7,32.7
역사관광,역사유물,1.6,3.5
역사관광,역사유적지,1.6,40.3
역사관광,종교성지,1.6,56.2
음식,간이음식,36.2,11.9
음식,외국식,36.2,6.4
음식,음식점기타,36.2,0.6
음식,전문음식,36.2,18.6
음식,한식,36.2,35.4
음식,카페/찻집,36.2,27.1
자연관광,자연경관(하천/해양),1.3,33.2
자연관광,자연경관(산),1.3,49.4
자연관광,자연공원,1.3,17.4
체험관광,농/산/어촌체험,0.2,56.1
체험관광,웰니스관광,0.2,38.4
체험관광,공예체험,0.2,5.4
