거리구분명,방문자수,방문자비율
30km 미만,1244936.0,42.13
30km 이상 70km 미만,1390256.0,47.05
70km 이상 140km 미만 ,154430.0,5.23
140km 이상 190km 미만,48524.0,1.64
190km 이상 240km 미만,23202.0,0.79
240km 이상 ,93310.0,3.16
