업종중분류명,현지인 검색비율,외지인 검색비율
음식,45.4,34.5
기타관광,19.9,17.3
쇼핑,10.7,18.0
문화관광,10.6,11.1
레저스포츠,5.6,11.2
숙박,4.4,4.8
자연관광,1.6,1.3
역사관광,1.6,1.7
체험관광,0.3,0.2
