소비자 연령,비율(남성),비율(여성)
80대,0.3,0.3
70대,1.3,0.9
60대,7.6,4.2
50대,14.9,9.0
40대,17.5,9.2
30대,15.3,8.5
20대,6.3,4.7
10대,0.1,0.1
