순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202106,99963,99963.0
2,경기도,파주시,퍼스트가든,202106,40251,40251.0
3,경기도,파주시,헤이리예술마을,202106,35750,35750.0
4,경기도,파주시,벽초지수목원,202106,33771,33771.0
5,경기도,파주시,공릉관광지(하니랜드),202106,15499,15499.0
6,경기도,파주시,서서울컨트리클럽,202106,10671,10671.0
7,경기도,파주시,통일전망대,202106,10482,10482.0
8,경기도,파주시,서원밸리골프클럽,202106,9170,9170.0
9,경기도,파주시,제3땅굴,202106,7597,7597.0
10,경기도,파주시,파주삼릉,202106,5423,5423.0
11,경기도,파주시,율곡선생유적지,202106,4840,4840.0
12,경기도,파주시,베스트밸리,202106,4129,4129.0
13,경기도,파주시,경기미래교육 파주캠퍼스,202106,3670,3670.0
14,경기도,파주시,황희선생유적지,202106,3472,3472.0
15,경기도,파주시,우농타조농장,202106,2844,2844.0
16,경기도,파주시,파주장릉,202106,2357,2357.0
17,경기도,파주시,황포돛배,202106,1852,1852.0
18,경기도,파주시,산머루농원,202106,1503,1503.0
19,경기도,파주시,소울원,202106,1384,1384.0
20,경기도,파주시,쇠꼴마을,202106,520,520.0
21,경기도,파주시,영집궁시박물관,202106,282,282.0
22,경기도,파주시,두루뫼박물관,202106,121,121.0
