지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1149.0,3.0
41113,수원시 권선구,1264.0,2.92
41115,수원시 팔달구,749.0,2.63
41117,수원시 영통구,1143.0,3.02
41131,성남시 수정구,1318.0,3.06
41133,성남시 중원구,1138.0,2.74
41135,성남시 분당구,1062.0,3.12
41150,의정부시,1608.0,2.94
41171,안양시 만안구,1031.0,2.83
41173,안양시 동안구,1236.0,2.97
41190,부천시,1492.0,3.01
41210,광명시,1141.0,3.0
41220,평택시,2342.0,3.15
41250,동두천시,1619.0,2.93
41271,안산시 상록구,1726.0,2.99
41273,안산시 단원구,1285.0,2.82
41281,고양시 덕양구,1119.0,3.04
41285,고양시 일산동구,1039.0,3.02
41287,고양시 일산서구,1055.0,2.99
41290,과천시,665.0,3.18
41310,구리시,878.0,2.97
41360,남양주시,1457.0,2.98
41370,오산시,1498.0,3.0
41390,시흥시,1335.0,2.95
41410,군포시,1378.0,2.97
41430,의왕시,936.0,3.04
41450,하남시,908.0,3.08
41461,용인시 처인구,1516.0,2.89
41463,용인시 기흥구,1336.0,3.12
41465,용인시 수지구,1566.0,3.13
41480,파주시,1426.0,2.99
41500,이천시,1391.0,2.98
41550,안성시,1413.0,3.01
41570,김포시,1544.0,3.05
41590,화성시,1811.0,3.02
41610,광주시,1311.0,2.93
41630,양주시,1439.0,2.96
41650,포천시,1482.0,2.75
41670,여주시,1232.0,2.88
41800,연천군,1453.0,2.75
41820,가평군,1481.0,2.35
41830,양평군,1056.0,2.53
