기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
가평군,기타관광,3508242,2.5,317687,9.1
가평군,레저스포츠,3508242,2.5,530582,15.1
가평군,문화관광,3508242,2.5,320631,9.1
가평군,쇼핑,3508242,2.5,7372,0.2
가평군,숙박,3508242,2.5,992889,28.3
가평군,역사관광,3508242,2.5,16578,0.5
가평군,음식,3508242,2.5,1178365,33.6
가평군,자연관광,3508242,2.5,142789,4.1
가평군,체험관광,3508242,2.5,1349,0.0
고양시 덕양구,기타관광,5841975,4.1,345942,5.9
고양시 덕양구,레저스포츠,5841975,4.1,407582,7.0
고양시 덕양구,문화관광,5841975,4.1,455598,7.8
고양시 덕양구,쇼핑,5841975,4.1,1523775,26.1
고양시 덕양구,숙박,5841975,4.1,96944,1.7
고양시 덕양구,역사관광,5841975,4.1,213144,3.6
고양시 덕양구,음식,5841975,4.1,2763206,47.3
고양시 덕양구,자연관광,5841975,4.1,5120,0.1
고양시 덕양구,체험관광,5841975,4.1,30664,0.5
고양시 일산동구,기타관광,4223950,3.0,99116,2.3
고양시 일산동구,레저스포츠,4223950,3.0,89459,2.1
고양시 일산동구,문화관광,4223950,3.0,569203,13.5
고양시 일산동구,쇼핑,4223950,3.0,676490,16.0
고양시 일산동구,숙박,4223950,3.0,175909,4.2
고양시 일산동구,역사관광,4223950,3.0,23884,0.6
고양시 일산동구,음식,4223950,3.0,2580936,61.1
고양시 일산동구,자연관광,4223950,3.0,982,0.0
고양시 일산동구,체험관광,4223950,3.0,7971,0.2
고양시 일산서구,기타관광,2950673,2.1,74007,2.5
고양시 일산서구,레저스포츠,2950673,2.1,30940,1.0
고양시 일산서구,문화관광,2950673,2.1,1051897,35.6
고양시 일산서구,쇼핑,2950673,2.1,668467,22.7
고양시 일산서구,숙박,2950673,2.1,111699,3.8
고양시 일산서구,역사관광,2950673,2.1,201,0.0
고양시 일산서구,음식,2950673,2.1,1004231,34.0
고양시 일산서구,자연관광,2950673,2.1,1715,0.1
고양시 일산서구,체험관광,2950673,2.1,7516,0.3
과천시,기타관광,1400583,1.0,6074,0.4
과천시,레저스포츠,1400583,1.0,179257,12.8
과천시,문화관광,1400583,1.0,734842,52.5
과천시,쇼핑,1400583,1.0,10071,0.7
과천시,숙박,1400583,1.0,12307,0.9
과천시,역사관광,1400583,1.0,17350,1.2
과천시,음식,1400583,1.0,435553,31.1
과천시,자연관광,1400583,1.0,2890,0.2
과천시,체험관광,1400583,1.0,2239,0.2
광명시,기타관광,3403282,2.4,1517641,44.6
광명시,레저스포츠,3403282,2.4,100305,2.9
광명시,문화관광,3403282,2.4,120320,3.5
광명시,쇼핑,3403282,2.4,423266,12.4
광명시,숙박,3403282,2.4,110549,3.2
광명시,역사관광,3403282,2.4,5098,0.1
광명시,음식,3403282,2.4,984309,28.9
광명시,자연관광,3403282,2.4,140853,4.1
광명시,체험관광,3403282,2.4,941,0.0
광주시,기타관광,3698060,2.6,36868,1.0
광주시,레저스포츠,3698060,2.6,535231,14.5
광주시,문화관광,3698060,2.6,457275,12.4
광주시,쇼핑,3698060,2.6,52999,1.4
광주시,숙박,3698060,2.6,273365,7.4
광주시,역사관광,3698060,2.6,121962,3.3
광주시,음식,3698060,2.6,2177604,58.9
광주시,자연관광,3698060,2.6,35465,1.0
광주시,체험관광,3698060,2.6,7291,0.2
구리시,기타관광,1837040,1.3,10116,0.6
구리시,레저스포츠,1837040,1.3,33895,1.8
구리시,문화관광,1837040,1.3,149662,8.1
구리시,쇼핑,1837040,1.3,696876,37.9
구리시,숙박,1837040,1.3,78481,4.3
구리시,역사관광,1837040,1.3,35905,2.0
구리시,음식,1837040,1.3,826672,45.0
구리시,자연관광,1837040,1.3,33,0.0
구리시,체험관광,1837040,1.3,5400,0.3
군포시,기타관광,795063,0.6,6091,0.8
군포시,레저스포츠,795063,0.6,49808,6.3
군포시,문화관광,795063,0.6,85350,10.7
군포시,쇼핑,795063,0.6,160527,20.2
군포시,숙박,795063,0.6,29360,3.7
군포시,역사관광,795063,0.6,5533,0.7
군포시,음식,795063,0.6,425624,53.5
군포시,자연관광,795063,0.6,32454,4.1
군포시,체험관광,795063,0.6,316,0.0
김포시,기타관광,5005854,3.5,16453,0.3
김포시,레저스포츠,5005854,3.5,129809,2.6
김포시,문화관광,5005854,3.5,361053,7.2
김포시,쇼핑,5005854,3.5,1100716,22.0
김포시,숙박,5005854,3.5,263470,5.3
김포시,역사관광,5005854,3.5,35992,0.7
김포시,음식,5005854,3.5,2922655,58.4
김포시,자연관광,5005854,3.5,143292,2.9
김포시,체험관광,5005854,3.5,32414,0.6
남양주시,기타관광,7709345,5.5,597721,7.8
남양주시,레저스포츠,7709345,5.5,316753,4.1
남양주시,문화관광,7709345,5.5,592148,7.7
남양주시,쇼핑,7709345,5.5,1032178,13.4
남양주시,숙박,7709345,5.5,236524,3.1
남양주시,역사관광,7709345,5.5,227027,2.9
남양주시,음식,7709345,5.5,4599827,59.7
남양주시,자연관광,7709345,5.5,71156,0.9
남양주시,체험관광,7709345,5.5,36011,0.5
동두천시,기타관광,549064,0.4,41370,7.5
동두천시,레저스포츠,549064,0.4,34974,6.4
동두천시,문화관광,549064,0.4,39857,7.3
동두천시,쇼핑,549064,0.4,20725,3.8
동두천시,숙박,549064,0.4,50677,9.2
동두천시,역사관광,549064,0.4,2123,0.4
동두천시,음식,549064,0.4,313389,57.1
동두천시,자연관광,549064,0.4,45309,8.3
동두천시,체험관광,549064,0.4,640,0.1
부천시,기타관광,3992243,2.8,170967,4.3
부천시,레저스포츠,3992243,2.8,24129,0.6
부천시,문화관광,3992243,2.8,666001,16.7
부천시,쇼핑,3992243,2.8,1188760,29.8
부천시,숙박,3992243,2.8,156654,3.9
부천시,역사관광,3992243,2.8,26041,0.7
부천시,음식,3992243,2.8,1746434,43.7
부천시,자연관광,3992243,2.8,7124,0.2
부천시,체험관광,3992243,2.8,6133,0.2
성남시 분당구,기타관광,6304890,4.5,116879,1.9
성남시 분당구,레저스포츠,6304890,4.5,179414,2.8
성남시 분당구,문화관광,6304890,4.5,491777,7.8
성남시 분당구,쇼핑,6304890,4.5,1619194,25.7
성남시 분당구,숙박,6304890,4.5,246772,3.9
성남시 분당구,역사관광,6304890,4.5,26254,0.4
성남시 분당구,음식,6304890,4.5,3621779,57.4
성남시 분당구,자연관광,6304890,4.5,1268,0.0
성남시 분당구,체험관광,6304890,4.5,1553,0.0
성남시 수정구,기타관광,1610842,1.1,5198,0.3
성남시 수정구,레저스포츠,1610842,1.1,54800,3.4
성남시 수정구,문화관광,1610842,1.1,213072,13.2
성남시 수정구,쇼핑,1610842,1.1,173173,10.8
성남시 수정구,숙박,1610842,1.1,149626,9.3
성남시 수정구,역사관광,1610842,1.1,27449,1.7
성남시 수정구,음식,1610842,1.1,977433,60.7
성남시 수정구,자연관광,1610842,1.1,6785,0.4
성남시 수정구,체험관광,1610842,1.1,3306,0.2
성남시 중원구,레저스포츠,579088,0.4,2490,0.4
성남시 중원구,문화관광,579088,0.4,64488,11.1
성남시 중원구,쇼핑,579088,0.4,232812,40.2
성남시 중원구,숙박,579088,0.4,78168,13.5
성남시 중원구,역사관광,579088,0.4,2265,0.4
성남시 중원구,음식,579088,0.4,195253,33.7
성남시 중원구,자연관광,579088,0.4,2712,0.5
성남시 중원구,체험관광,579088,0.4,900,0.2
수원시 권선구,기타관광,2872605,2.0,321956,11.2
수원시 권선구,레저스포츠,2872605,2.0,88279,3.1
수원시 권선구,문화관광,2872605,2.0,241890,8.4
수원시 권선구,쇼핑,2872605,2.0,817546,28.5
수원시 권선구,숙박,2872605,2.0,111745,3.9
수원시 권선구,역사관광,2872605,2.0,8716,0.3
수원시 권선구,음식,2872605,2.0,1262364,43.9
수원시 권선구,자연관광,2872605,2.0,1599,0.1
수원시 권선구,체험관광,2872605,2.0,18510,0.6
수원시 영통구,기타관광,3545118,2.5,830,0.0
수원시 영통구,레저스포츠,3545118,2.5,51263,1.4
수원시 영통구,문화관광,3545118,2.5,571886,16.1
수원시 영통구,쇼핑,3545118,2.5,880026,24.8
수원시 영통구,숙박,3545118,2.5,92660,2.6
수원시 영통구,역사관광,3545118,2.5,1173,0.0
수원시 영통구,음식,3545118,2.5,1922265,54.2
수원시 영통구,자연관광,3545118,2.5,24161,0.7
수원시 영통구,체험관광,3545118,2.5,854,0.0
수원시 장안구,기타관광,1299237,0.9,548,0.0
수원시 장안구,레저스포츠,1299237,0.9,4784,0.4
수원시 장안구,문화관광,1299237,0.9,302721,23.3
수원시 장안구,쇼핑,1299237,0.9,108309,8.3
수원시 장안구,숙박,1299237,0.9,29704,2.3
수원시 장안구,역사관광,1299237,0.9,23733,1.8
수원시 장안구,음식,1299237,0.9,724877,55.8
수원시 장안구,자연관광,1299237,0.9,55634,4.3
수원시 장안구,체험관광,1299237,0.9,48927,3.8
수원시 팔달구,기타관광,3929758,2.8,624561,15.9
수원시 팔달구,레저스포츠,3929758,2.8,16823,0.4
수원시 팔달구,문화관광,3929758,2.8,443853,11.3
수원시 팔달구,쇼핑,3929758,2.8,595073,15.1
수원시 팔달구,숙박,3929758,2.8,435562,11.1
수원시 팔달구,역사관광,3929758,2.8,293410,7.5
수원시 팔달구,음식,3929758,2.8,1518817,38.6
수원시 팔달구,자연관광,3929758,2.8,1360,0.0
수원시 팔달구,체험관광,3929758,2.8,299,0.0
시흥시,기타관광,4536996,3.2,32731,0.7
시흥시,레저스포츠,4536996,3.2,281803,6.2
시흥시,문화관광,4536996,3.2,830742,18.3
시흥시,쇼핑,4536996,3.2,904099,19.9
시흥시,숙박,4536996,3.2,200370,4.4
시흥시,역사관광,4536996,3.2,17244,0.4
시흥시,음식,4536996,3.2,2125785,46.9
시흥시,자연관광,4536996,3.2,140217,3.1
시흥시,체험관광,4536996,3.2,4005,0.1
안산시 단원구,기타관광,2994062,2.1,130052,4.3
안산시 단원구,레저스포츠,2994062,2.1,170368,5.7
안산시 단원구,문화관광,2994062,2.1,435909,14.6
안산시 단원구,쇼핑,2994062,2.1,263079,8.8
안산시 단원구,숙박,2994062,2.1,405955,13.6
안산시 단원구,역사관광,2994062,2.1,7948,0.3
안산시 단원구,음식,2994062,2.1,1372844,45.9
안산시 단원구,자연관광,2994062,2.1,203966,6.8
안산시 단원구,체험관광,2994062,2.1,3941,0.1
안산시 상록구,기타관광,1198385,0.8,107727,9.0
안산시 상록구,레저스포츠,1198385,0.8,91377,7.6
안산시 상록구,문화관광,1198385,0.8,163802,13.7
안산시 상록구,쇼핑,1198385,0.8,111070,9.3
안산시 상록구,숙박,1198385,0.8,92165,7.7
안산시 상록구,역사관광,1198385,0.8,11948,1.0
안산시 상록구,음식,1198385,0.8,609677,50.9
안산시 상록구,자연관광,1198385,0.8,5480,0.5
안산시 상록구,체험관광,1198385,0.8,5139,0.4
안성시,기타관광,3193081,2.3,128384,4.0
안성시,레저스포츠,3193081,2.3,675825,21.2
안성시,문화관광,3193081,2.3,234605,7.3
안성시,쇼핑,3193081,2.3,702172,22.0
안성시,숙박,3193081,2.3,140936,4.4
안성시,역사관광,3193081,2.3,81377,2.5
안성시,음식,3193081,2.3,1159002,36.3
안성시,자연관광,3193081,2.3,55931,1.8
안성시,체험관광,3193081,2.3,14849,0.5
안양시 동안구,기타관광,1867200,1.3,7249,0.4
안양시 동안구,레저스포츠,1867200,1.3,31322,1.7
안양시 동안구,문화관광,1867200,1.3,168383,9.0
안양시 동안구,쇼핑,1867200,1.3,512917,27.5
안양시 동안구,숙박,1867200,1.3,54477,2.9
안양시 동안구,역사관광,1867200,1.3,791,0.0
안양시 동안구,음식,1867200,1.3,1091648,58.5
안양시 동안구,자연관광,1867200,1.3,361,0.0
안양시 동안구,체험관광,1867200,1.3,52,0.0
안양시 만안구,기타관광,1053438,0.7,15476,1.5
안양시 만안구,레저스포츠,1053438,0.7,41346,3.9
안양시 만안구,문화관광,1053438,0.7,302906,28.8
안양시 만안구,쇼핑,1053438,0.7,144335,13.7
안양시 만안구,숙박,1053438,0.7,65672,6.2
안양시 만안구,역사관광,1053438,0.7,66158,6.3
안양시 만안구,음식,1053438,0.7,399110,37.9
안양시 만안구,자연관광,1053438,0.7,18311,1.7
안양시 만안구,체험관광,1053438,0.7,124,0.0
양주시,기타관광,2717552,1.9,28660,1.1
양주시,레저스포츠,2717552,1.9,210011,7.7
양주시,문화관광,2717552,1.9,376526,13.9
양주시,쇼핑,2717552,1.9,139325,5.1
양주시,숙박,2717552,1.9,175271,6.4
양주시,역사관광,2717552,1.9,35583,1.3
양주시,음식,2717552,1.9,1651750,60.8
양주시,자연관광,2717552,1.9,56682,2.1
양주시,체험관광,2717552,1.9,43744,1.6
양평군,기타관광,2674741,1.9,396428,14.8
양평군,레저스포츠,2674741,1.9,164891,6.2
양평군,문화관광,2674741,1.9,178996,6.7
양평군,쇼핑,2674741,1.9,50335,1.9
양평군,숙박,2674741,1.9,446180,16.7
양평군,역사관광,2674741,1.9,110258,4.1
양평군,음식,2674741,1.9,1246296,46.6
