기준년월,기초지자체,카테고리중분류명,기초지자체 검색건수
202210,파주시,전체,796182
202211,파주시,전체,602224
202212,파주시,전체,522206
202301,파주시,전체,499159
202302,파주시,전체,519745
202303,파주시,전체,644070
202304,파주시,전체,630737
202305,파주시,전체,665615
202306,파주시,전체,622661
202307,파주시,전체,620919
202308,파주시,전체,662885
202309,파주시,전체,712860
202210,파주시,숙박,36409
202210,파주시,음식,318804
202210,파주시,기타관광,108551
202210,파주시,쇼핑,139107
202210,파주시,자연관광,11784
202210,파주시,문화관광,97604
202210,파주시,역사관광,14999
202210,파주시,체험관광,2937
202210,파주시,레저스포츠,65987
202211,파주시,숙박,30016
202211,파주시,음식,254954
202211,파주시,기타관광,83011
202211,파주시,쇼핑,104110
202211,파주시,자연관광,6145
202211,파주시,문화관광,59446
202211,파주시,역사관광,10885
202211,파주시,체험관광,2065
202211,파주시,레저스포츠,51592
202212,파주시,숙박,27490
202212,파주시,음식,257028
202212,파주시,기타관광,61378
202212,파주시,쇼핑,100713
202212,파주시,문화관광,46594
202212,파주시,역사관광,5579
202212,파주시,자연관광,2513
202212,파주시,체험관광,1841
202212,파주시,레저스포츠,19070
202301,파주시,숙박,22423
202301,파주시,음식,251586
202301,파주시,기타관광,63142
202301,파주시,쇼핑,86558
202301,파주시,문화관광,45121
202301,파주시,역사관광,8708
202301,파주시,자연관광,3508
202301,파주시,체험관광,2035
202301,파주시,레저스포츠,16078
202302,파주시,숙박,22332
202302,파주시,음식,249294
202302,파주시,기타관광,66770
202302,파주시,쇼핑,89345
202302,파주시,문화관광,49562
202302,파주시,역사관광,7151
202302,파주시,자연관광,3635
202302,파주시,체험관광,2125
202302,파주시,레저스포츠,29531
202303,파주시,숙박,24441
202303,파주시,음식,297077
202303,파주시,기타관광,81745
202303,파주시,쇼핑,109570
202303,파주시,자연관광,5371
202303,파주시,문화관광,61808
202303,파주시,역사관광,8977
202303,파주시,체험관광,2148
202303,파주시,레저스포츠,52933
202304,파주시,숙박,28808
202304,파주시,음식,303135
202304,파주시,기타관광,66087
202304,파주시,쇼핑,103348
202304,파주시,문화관광,64091
202304,파주시,역사관광,9737
202304,파주시,자연관광,3154
202304,파주시,체험관광,2554
202304,파주시,레저스포츠,49823
202305,파주시,숙박,30639
202305,파주시,음식,326714
202305,파주시,기타관광,65031
202305,파주시,쇼핑,104926
202305,파주시,문화관광,70164
202305,파주시,역사관광,11656
202305,파주시,자연관광,3526
202305,파주시,체험관광,2558
202305,파주시,레저스포츠,50401
202306,파주시,기타관광,63513
202306,파주시,쇼핑,87823
202306,파주시,숙박,29968
202306,파주시,음식,306815
202306,파주시,문화관광,66894
202306,파주시,역사관광,8754
202306,파주시,자연관광,3583
202306,파주시,체험관광,2555
202306,파주시,레저스포츠,52756
202307,파주시,기타관광,58287
202307,파주시,쇼핑,86540
202307,파주시,숙박,27520
202307,파주시,음식,333220
202307,파주시,자연관광,2045
202307,파주시,문화관광,57616
202307,파주시,역사관광,7451
202307,파주시,체험관광,2011
202307,파주시,레저스포츠,46229
202308,파주시,숙박,29023
202308,파주시,음식,347792
202308,파주시,기타관광,65252
202308,파주시,쇼핑,89243
202308,파주시,문화관광,69574
202308,파주시,역사관광,8915
202308,파주시,자연관광,3613
202308,파주시,체험관광,1743
202308,파주시,레저스포츠,47730
202309,파주시,숙박,31438
202309,파주시,음식,322357
202309,파주시,기타관광,86952
202309,파주시,쇼핑,105068
202309,파주시,자연관광,7271
202309,파주시,문화관광,80767
202309,파주시,역사관광,12497
202309,파주시,체험관광,2558
202309,파주시,레저스포츠,63952
