카테고리중분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,56148,0.7
역사관광,115309,1.5
체험관광,27130,0.4
문화관광,769241,10.3
레저스포츠,546082,7.3
쇼핑,1206351,16.1
음식,3568776,47.6
숙박,340507,4.5
기타관광,869719,11.6
