기초지자체,검색건수
수원시 장안구,1299237
수원시 권선구,2872605
수원시 팔달구,3929758
수원시 영통구,3545118
성남시 수정구,1610842
성남시 중원구,579088
성남시 분당구,6304890
의정부시,2568176
안양시 만안구,1053438
안양시 동안구,1867200
부천시,3992243
광명시,3403282
평택시,4385649
동두천시,549064
안산시 상록구,1198385
안산시 단원구,2994062
고양시 덕양구,5841975
고양시 일산동구,4223950
고양시 일산서구,2950673
과천시,1400583
구리시,1837040
남양주시,7709345
오산시,1705733
시흥시,4536996
군포시,795063
의왕시,2272500
하남시,5410426
용인시 처인구,5737767
용인시 기흥구,4076630
용인시 수지구,2503290
파주시,7499263
이천시,3354390
안성시,3193081
김포시,5005854
화성시,8863287
광주시,3698060
양주시,2717552
포천시,3470797
여주시,3173888
연천군,826543
가평군,3508242
양평군,2674741
