지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,824.0,2.85
41113,수원시 권선구,1071.0,2.83
41115,수원시 팔달구,577.0,2.55
41117,수원시 영통구,893.0,2.92
41131,성남시 수정구,845.0,2.83
41133,성남시 중원구,1048.0,2.72
41135,성남시 분당구,833.0,2.97
41150,의정부시,1324.0,2.87
41171,안양시 만안구,942.0,2.81
41173,안양시 동안구,1058.0,2.89
41190,부천시,1250.0,2.91
41210,광명시,757.0,2.82
41220,평택시,2147.0,2.95
41250,동두천시,1289.0,2.78
41271,안산시 상록구,1428.0,2.85
41273,안산시 단원구,1012.0,2.6
41281,고양시 덕양구,934.0,2.93
41285,고양시 일산동구,845.0,2.92
41287,고양시 일산서구,825.0,2.9
41290,과천시,534.0,2.97
41310,구리시,586.0,2.81
41360,남양주시,1108.0,2.78
41370,오산시,1187.0,2.87
41390,시흥시,1172.0,2.86
41410,군포시,1083.0,2.89
41430,의왕시,562.0,2.8
41450,하남시,712.0,2.88
41461,용인시 처인구,929.0,2.64
41463,용인시 기흥구,1027.0,2.95
41465,용인시 수지구,1216.0,2.97
41480,파주시,1199.0,2.85
41500,이천시,1050.0,2.8
41550,안성시,927.0,2.73
41570,김포시,1241.0,2.9
41590,화성시,1413.0,2.83
41610,광주시,1141.0,2.86
41630,양주시,1034.0,2.73
41650,포천시,1052.0,2.49
41670,여주시,917.0,2.62
41800,연천군,1226.0,2.54
41820,가평군,876.0,2.23
41830,양평군,827.0,2.43
