업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,42.0,3.1
쇼핑업,기타관광쇼핑,42.0,36.3
쇼핑업,대형쇼핑몰,42.0,60.6
숙박업,호텔,0.9,9.7
숙박업,캠핑장/펜션,0.9,4.7
숙박업,기타숙박,0.9,85.6
식음료업,일반외식업,30.7,80.3
식음료업,제과음료업,30.7,19.7
여가서비스업,관광유원시설,10.9,2.6
여가서비스업,골프장,10.9,75.3
여가서비스업,기타레저,10.9,14.6
여가서비스업,문화서비스,10.9,7.5
여행업,여행업,0.0,100.0
운송업,렌터카,14.4,0.1
운송업,육상운송,14.4,99.9
의료웰니스업,의료관광,1.1,14.9
의료웰니스업,뷰티,1.1,85.1
