소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.3,0.9
60대,7.7,4.1
50대,15.5,9.2
40대,17.4,9.1
30대,15.2,8.1
20대,6.3,4.4
10대,0.1,0.1
