순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202208,115288,115288.0
2,경기도,파주시,헤이리예술마을,202208,25230,25230.0
3,경기도,파주시,퍼스트가든,202208,19993,19993.0
4,경기도,파주시,벽초지수목원,202208,19587,19587.0
5,경기도,파주시,통일전망대,202208,14380,14380.0
6,경기도,파주시,서서울컨트리클럽,202208,11066,11066.0
7,경기도,파주시,공릉관광지(하니랜드),202208,9567,9567.0
8,경기도,파주시,제3땅굴,202208,9432,9432.0
9,경기도,파주시,서원밸리골프클럽,202208,8393,8393.0
10,경기도,파주시,베스트밸리,202208,3905,3905.0
11,경기도,파주시,경기미래교육 파주캠퍼스,202208,3785,3785.0
12,경기도,파주시,황희선생유적지,202208,3376,3376.0
13,경기도,파주시,쇠꼴마을,202208,3251,3251.0
14,경기도,파주시,율곡선생유적지,202208,2691,2691.0
15,경기도,파주시,파주삼릉,202208,2676,2676.0
16,경기도,파주시,우농타조농장,202208,1952,1952.0
17,경기도,파주시,소울원,202208,1923,1923.0
18,경기도,파주시,황포돛배,202208,1900,1900.0
19,경기도,파주시,파주장릉,202208,1566,1566.0
20,경기도,파주시,산머루농원,202208,510,510.0
21,경기도,파주시,영집궁시박물관,202208,287,287.0
22,경기도,파주시,두루뫼박물관,202208,198,198.0
