순위,관광지ID,관광지명,분류
28,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,캠핑
29,f7688e9e63207c3f02fa33de4729c77f,베스트밸리GC,육상레저스포츠
30,d6a972d506b2b7e7e7d680d25c30463a,하니랜드,테마공원
31,4cc3ba145498006d92d61503d06d3031,롯데시네마파주운정,공연시설
32,7f173be334b2e7d6b9658b4b366402b0,율곡수목원,자연공원
33,1e2e763c5f4343a048cbab40d87e3029,파주J퍼블릭GC,육상레저스포츠
34,4b617d7bd2ce453f3bd1e950b5dc08a7,더초리골수영장,테마공원
35,475db97583e2f62b385ce05fbed848c0,한국근현대사박물관,전시시설
36,b5d33dd5cb2a421a72448ea3cb4e6618,미메시스아트뮤지엄,전시시설
37,0ef8b4527ee20b9330955f845ec78ed5,파크뷰테라스,호텔
38,2da3df196ff25fa5183cddba80a6df9b,심학산,자연경관(산)
39,877f0160d905ac319322724a9592986b,파주공룡박물관,전시시설
40,8695b2de3cc23c156b366608d9b89885,약천사,종교성지
41,c664700bd14e49b091436d84378c0391,케이힐스더테라스,호텔
42,00d198d86f7024b1d0a696295f668978,운정가구타운,기타쇼핑시설
43,c8a2d04e988792042ca48dfde9d1407f,오성골프클럽,육상레저스포츠
44,382f4c95b87ee7b8a0ed07179b22f27f,금촌전통시장,시장
45,f9ede4a268567247a072eccb383f8b78,파주임진각평화곤돌라,기타레저스포츠
46,4620c27e44070de402de83dc11609bd2,파주역,교통시설
47,33ef3f78240dadd22b84766d3f98ab43,골든힐호텔,호텔
48,bc78c14553ba3a0161e53727d724104e,메가박스파주운정,공연시설
49,a91da1956b3b8924da77f30f09309756,국립민속박물관파주,전시시설
50,e2b7c908078f80d58777a8ffe2b4c1a9,메가박스파주출판도시,공연시설
51,3b8daccd597a508de28c1f45dd56fed1,아미가골프장,육상레저스포츠
52,1aabc6f644c6f6a94ca0b88aceb07cfd,마장호수공원,도시공원
53,2266273b9cb5cb4e9d406a15b04c2724,콰트로박스,기타문화관광지
54,bc680d582b21d2f20c185abbe4ceed90,지지향게스트하우스,호스텔
55,41e00ec5d68c9ee6425522aab554349d,문산자유시장,시장
56,85a33edd9d7ef8c4b9e2b18e697b5390,동화힐링캠프,캠핑
