업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당DT점,25.0,1
음식,버거킹/파주야당역점,13.0,2
음식,피자헛/파주운정점,12.0,3
음식,푸라닭/파주금촌점,10.0,4
음식,평양손만두/파주운정점,9.0,5
음식,소플러스/운정점,8.0,6
음식,KFC/야당역점,8.0,7
음식,스타벅스/파주야당역점,6.0,8
음식,스타벅스/파주운정점,6.0,9
음식,훈장골/파주점,6.0,10
쇼핑,롯데프리미엄아울렛/파주점,192.0,1
쇼핑,신세계프리미엄아울렛/파주점,188.0,2
쇼핑,이마트/파주운정점,80.0,3
쇼핑,홈플러스/파주운정점,50.0,4
쇼핑,운정가구타운,18.0,5
쇼핑,이마트/파주점,15.0,6
쇼핑,금촌전통시장,5.0,7
쇼핑,대하마트,4.0,8
쇼핑,이채쇼핑몰,3.0,9
쇼핑,홈플러스/파주문산점,3.0,10
문화관광,운정호수공원,28.0,1
문화관광,자유로자동차극장,22.0,2
문화관광,평화누리,14.0,3
문화관광,퍼스트가든,7.0,4
문화관광,메가박스/파주운정,6.0,5
문화관광,퍼스트가든자동차극장,6.0,6
문화관광,운정건강공원,4.0,7
문화관광,CGV/파주야당,4.0,8
문화관광,퍼스트가든빛축제,4.0,9
문화관광,고정스튜디오,3.0,10
