방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.5,2.4
60~69세,8.9,5.3
50~59세,13.2,8.0
40~49세,11.6,6.3
30~39세,10.6,6.6
20~29세,12.7,6.7
10~19세,2.4,1.9
0~9세,0.4,0.5
