거리구분명,방문자수,방문자비율
30km 미만,1768477.0,42.07
30km 이상 70km 미만,1892996.0,45.03
70km 이상 140km 미만 ,223177.0,5.31
140km 이상 190km 미만,89112.0,2.12
190km 이상 240km 미만,44305.0,1.05
240km 이상 ,185456.0,4.41
