업종중분류명,현지인 검색비율,외지인 검색비율
음식,56.1,44.3
기타관광,12.2,11.5
문화관광,10.6,10.0
쇼핑,9.7,15.8
레저스포츠,4.5,10.5
숙박,4.3,5.3
역사관광,1.2,1.3
자연관광,0.9,1.0
체험관광,0.4,0.3
