업종중분류명,지역명,비율
음식,인천광역시 서구,50.3
문화관광,인천광역시 서구,17.0
레저스포츠,인천광역시 서구,13.2
쇼핑,인천광역시 서구,11.5
기타관광,인천광역시 서구,3.3
숙박,인천광역시 서구,2.7
자연관광,인천광역시 서구,1.5
역사관광,인천광역시 서구,0.4
체험관광,인천광역시 서구,0.1
