year,month,지역코드,지역명,평균 체류시간
2025,4,41111,수원시 장안구,681.0
2025,4,41113,수원시 권선구,892.0
2025,4,41115,수원시 팔달구,540.0
2025,4,41117,수원시 영통구,764.0
2025,4,41131,성남시 수정구,710.0
2025,4,41133,성남시 중원구,857.0
2025,4,41135,성남시 분당구,747.0
2025,4,41150,의정부시,1213.0
2025,4,41171,안양시 만안구,809.0
2025,4,41173,안양시 동안구,939.0
2025,4,41192,부천시 원미구,789.0
2025,4,41194,부천시 소사구,797.0
2025,4,41196,부천시 오정구,695.0
2025,4,41210,광명시,648.0
2025,4,41220,평택시,1635.0
2025,4,41250,동두천시,1097.0
2025,4,41271,안산시 상록구,1101.0
2025,4,41273,안산시 단원구,944.0
2025,4,41281,고양시 덕양구,857.0
2025,4,41285,고양시 일산동구,752.0
2025,4,41287,고양시 일산서구,738.0
2025,4,41290,과천시,468.0
2025,4,41310,구리시,573.0
2025,4,41360,남양주시,1063.0
2025,4,41370,오산시,1149.0
2025,4,41390,시흥시,1025.0
2025,4,41410,군포시,945.0
2025,4,41430,의왕시,524.0
2025,4,41450,하남시,666.0
2025,4,41461,용인시 처인구,932.0
2025,4,41463,용인시 기흥구,873.0
2025,4,41465,용인시 수지구,1012.0
2025,4,41480,파주시,1288.0
2025,4,41500,이천시,1041.0
2025,4,41550,안성시,920.0
2025,4,41570,김포시,1095.0
2025,4,41590,화성시,1254.0
2025,4,41610,광주시,996.0
2025,4,41630,양주시,1042.0
2025,4,41650,포천시,949.0
2025,4,41670,여주시,825.0
2025,4,41800,연천군,1474.0
2025,4,41820,가평군,857.0
2025,4,41830,양평군,783.0
