year,month,광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
2024,1,강원특별자치도,춘천시,19,30.6
2024,1,강원특별자치도,원주시,12,19.4
2024,1,강원특별자치도,강릉시,2,3.2
2024,1,강원특별자치도,태백시,1,1.6
2024,1,강원특별자치도,속초시,5,8.1
2024,1,강원특별자치도,홍천군,11,17.7
2024,1,강원특별자치도,횡성군,2,3.2
2024,1,강원특별자치도,철원군,7,11.3
2024,1,강원특별자치도,화천군,1,1.6
2024,1,강원특별자치도,인제군,1,1.6
2024,1,강원특별자치도,양양군,1,1.6
2024,1,경기도,수원시 장안구,13,0.3
2024,1,경기도,수원시 권선구,18,0.4
2024,1,경기도,수원시 팔달구,34,0.8
2024,1,경기도,수원시 영통구,20,0.4
2024,1,경기도,성남시 수정구,24,0.5
2024,1,경기도,성남시 중원구,19,0.4
2024,1,경기도,성남시 분당구,39,0.9
2024,1,경기도,의정부시,95,2.1
2024,1,경기도,안양시 만안구,24,0.5
2024,1,경기도,안양시 동안구,29,0.6
2024,1,경기도,부천시,42,0.9
2024,1,경기도,부천시 원미구,36,0.8
2024,1,경기도,부천시 소사구,12,0.3
2024,1,경기도,부천시 오정구,11,0.2
2024,1,경기도,광명시,50,1.1
2024,1,경기도,평택시,56,1.2
2024,1,경기도,동두천시,19,0.4
2024,1,경기도,안산시 상록구,33,0.7
2024,1,경기도,안산시 단원구,39,0.9
2024,1,경기도,고양시 덕양구,854,19.0
2024,1,경기도,고양시 일산동구,924,20.6
2024,1,경기도,고양시 일산서구,867,19.3
2024,1,경기도,과천시,16,0.4
2024,1,경기도,구리시,32,0.7
2024,1,경기도,남양주시,95,2.1
2024,1,경기도,오산시,27,0.6
2024,1,경기도,시흥시,85,1.9
2024,1,경기도,군포시,30,0.7
2024,1,경기도,의왕시,17,0.4
2024,1,경기도,하남시,53,1.2
2024,1,경기도,용인시 처인구,22,0.5
2024,1,경기도,용인시 기흥구,33,0.7
2024,1,경기도,용인시 수지구,29,0.6
2024,1,경기도,이천시,19,0.4
2024,1,경기도,안성시,18,0.4
2024,1,경기도,김포시,282,6.3
2024,1,경기도,화성시,80,1.8
2024,1,경기도,광주시,18,0.4
2024,1,경기도,양주시,211,4.7
2024,1,경기도,포천시,37,0.8
2024,1,경기도,여주시,12,0.3
2024,1,경기도,연천군,90,2.0
2024,1,경기도,가평군,13,0.3
2024,1,경기도,양평군,12,0.3
2024,1,경상남도,창원시 마산합포구,1,5.9
2024,1,경상남도,진주시,1,5.9
2024,1,경상남도,사천시,1,5.9
2024,1,경상남도,김해시,1,5.9
2024,1,경상남도,밀양시,2,11.8
2024,1,경상남도,거제시,5,29.4
2024,1,경상남도,양산시,1,5.9
2024,1,경상남도,하동군,1,5.9
2024,1,경상남도,합천군,4,23.5
2024,1,경상북도,포항시 북구,1,2.8
2024,1,경상북도,구미시,3,8.3
2024,1,경상북도,영천시,1,2.8
2024,1,경상북도,상주시,12,33.3
2024,1,경상북도,문경시,10,27.8
2024,1,경상북도,경산시,1,2.8
2024,1,경상북도,성주군,3,8.3
2024,1,경상북도,칠곡군,4,11.1
2024,1,경상북도,울진군,1,2.8
2024,1,광주광역시,서구,1,25.0
2024,1,광주광역시,북구,3,75.0
2024,1,대구광역시,동구,2,16.7
2024,1,대구광역시,서구,2,16.7
2024,1,대구광역시,남구,3,25.0
2024,1,대구광역시,북구,1,8.3
2024,1,대구광역시,달서구,3,25.0
2024,1,대구광역시,군위군,1,8.3
2024,1,대전광역시,동구,1,7.7
2024,1,대전광역시,중구,3,23.1
2024,1,대전광역시,서구,3,23.1
2024,1,대전광역시,유성구,5,38.5
2024,1,대전광역시,대덕구,1,7.7
2024,1,부산광역시,동래구,3,50.0
2024,1,부산광역시,북구,1,16.7
2024,1,부산광역시,기장군,2,33.3
2024,1,서울특별시,종로구,39,2.0
2024,1,서울특별시,중구,43,2.2
2024,1,서울특별시,용산구,81,4.2
2024,1,서울특별시,성동구,29,1.5
2024,1,서울특별시,광진구,31,1.6
2024,1,서울특별시,동대문구,20,1.0
2024,1,서울특별시,중랑구,34,1.8
2024,1,서울특별시,성북구,39,2.0
2024,1,서울특별시,강북구,26,1.3
2024,1,서울특별시,도봉구,54,2.8
2024,1,서울특별시,노원구,46,2.4
2024,1,서울특별시,은평구,141,7.3
2024,1,서울특별시,서대문구,146,7.5
2024,1,서울특별시,마포구,203,10.5
2024,1,서울특별시,양천구,141,7.3
2024,1,서울특별시,강서구,266,13.7
2024,1,서울특별시,구로구,71,3.7
2024,1,서울특별시,금천구,31,1.6
2024,1,서울특별시,영등포구,151,7.8
2024,1,서울특별시,동작구,30,1.5
2024,1,서울특별시,관악구,66,3.4
2024,1,서울특별시,서초구,75,3.9
2024,1,서울특별시,강남구,98,5.0
2024,1,서울특별시,송파구,47,2.4
2024,1,서울특별시,강동구,34,1.8
2024,1,울산광역시,중구,4,40.0
2024,1,울산광역시,남구,2,20.0
2024,1,울산광역시,동구,1,10.0
2024,1,울산광역시,북구,2,20.0
2024,1,울산광역시,울주군,1,10.0
2024,1,인천광역시,중구,64,9.2
2024,1,인천광역시,동구,15,2.2
2024,1,인천광역시,미추홀구,74,10.6
2024,1,인천광역시,연수구,62,8.9
2024,1,인천광역시,남동구,64,9.2
2024,1,인천광역시,부평구,96,13.8
2024,1,인천광역시,계양구,68,9.8
2024,1,인천광역시,서구,238,34.2
2024,1,인천광역시,강화군,14,2.0
2024,1,인천광역시,옹진군,1,0.1
2024,1,전라남도,나주시,2,22.2
2024,1,전라남도,담양군,1,11.1
2024,1,전라남도,영암군,2,22.2
2024,1,전라남도,장성군,4,44.4
2024,1,전북특별자치도,전주시 완산구,3,30.0
2024,1,전북특별자치도,전주시 덕진구,1,10.0
2024,1,전북특별자치도,군산시,1,10.0
