year,month,지역코드,지역명,평균 체류시간
2024,7,41111,수원시 장안구,805.0
2024,7,41113,수원시 권선구,1094.0
2024,7,41115,수원시 팔달구,664.0
2024,7,41117,수원시 영통구,901.0
2024,7,41131,성남시 수정구,894.0
2024,7,41133,성남시 중원구,1036.0
2024,7,41135,성남시 분당구,874.0
2024,7,41150,의정부시,1407.0
2024,7,41171,안양시 만안구,930.0
2024,7,41173,안양시 동안구,1060.0
2024,7,41192,부천시 원미구,914.0
2024,7,41194,부천시 소사구,1092.0
2024,7,41196,부천시 오정구,839.0
2024,7,41210,광명시,749.0
2024,7,41220,평택시,1987.0
2024,7,41250,동두천시,1326.0
2024,7,41271,안산시 상록구,1366.0
2024,7,41273,안산시 단원구,1078.0
2024,7,41281,고양시 덕양구,1023.0
2024,7,41285,고양시 일산동구,830.0
2024,7,41287,고양시 일산서구,909.0
2024,7,41290,과천시,652.0
2024,7,41310,구리시,689.0
2024,7,41360,남양주시,1208.0
2024,7,41370,오산시,1264.0
2024,7,41390,시흥시,1181.0
2024,7,41410,군포시,1151.0
2024,7,41430,의왕시,593.0
2024,7,41450,하남시,775.0
2024,7,41461,용인시 처인구,1147.0
2024,7,41463,용인시 기흥구,1066.0
2024,7,41465,용인시 수지구,1749.0
2024,7,41480,파주시,1348.0
2024,7,41500,이천시,1229.0
2024,7,41550,안성시,1042.0
2024,7,41570,김포시,1304.0
2024,7,41590,화성시,1430.0
2024,7,41610,광주시,1377.0
2024,7,41630,양주시,1284.0
2024,7,41650,포천시,1151.0
2024,7,41670,여주시,947.0
2024,7,41800,연천군,1884.0
2024,7,41820,가평군,990.0
2024,7,41830,양평군,874.0
