year,month,지역코드,지역명,평균 체류시간
2024,3,41111,수원시 장안구,1155.0
2024,3,41113,수원시 권선구,1283.0
2024,3,41115,수원시 팔달구,735.0
2024,3,41117,수원시 영통구,1217.0
2024,3,41131,성남시 수정구,1255.0
2024,3,41133,성남시 중원구,1137.0
2024,3,41135,성남시 분당구,965.0
2024,3,41150,의정부시,1477.0
2024,3,41171,안양시 만안구,1131.0
2024,3,41173,안양시 동안구,1110.0
2024,3,41192,부천시 원미구,1028.0
2024,3,41194,부천시 소사구,1203.0
2024,3,41196,부천시 오정구,841.0
2024,3,41210,광명시,888.0
2024,3,41220,평택시,2316.0
2024,3,41250,동두천시,1543.0
2024,3,41271,안산시 상록구,1925.0
2024,3,41273,안산시 단원구,1294.0
2024,3,41281,고양시 덕양구,1197.0
2024,3,41285,고양시 일산동구,952.0
2024,3,41287,고양시 일산서구,986.0
2024,3,41290,과천시,847.0
2024,3,41310,구리시,792.0
2024,3,41360,남양주시,1454.0
2024,3,41370,오산시,1592.0
2024,3,41390,시흥시,1522.0
2024,3,41410,군포시,1269.0
2024,3,41430,의왕시,706.0
2024,3,41450,하남시,999.0
2024,3,41461,용인시 처인구,1737.0
2024,3,41463,용인시 기흥구,1429.0
2024,3,41465,용인시 수지구,1516.0
2024,3,41480,파주시,1455.0
2024,3,41500,이천시,1564.0
2024,3,41550,안성시,1804.0
2024,3,41570,김포시,1567.0
2024,3,41590,화성시,1684.0
2024,3,41610,광주시,1479.0
2024,3,41630,양주시,1443.0
2024,3,41650,포천시,1515.0
2024,3,41670,여주시,1155.0
2024,3,41800,연천군,1354.0
2024,3,41820,가평군,1144.0
2024,3,41830,양평군,1172.0
