year,month,지역코드,지역명,평균 체류시간
2024,1,41111,수원시 장안구,895.0
2024,1,41113,수원시 권선구,1232.0
2024,1,41115,수원시 팔달구,712.0
2024,1,41117,수원시 영통구,968.0
2024,1,41131,성남시 수정구,1028.0
2024,1,41133,성남시 중원구,1234.0
2024,1,41135,성남시 분당구,947.0
2024,1,41150,의정부시,1441.0
2024,1,41171,안양시 만안구,1059.0
2024,1,41173,안양시 동안구,1156.0
2024,1,41192,부천시 원미구,948.0
2024,1,41194,부천시 소사구,1176.0
2024,1,41196,부천시 오정구,996.0
2024,1,41210,광명시,819.0
2024,1,41220,평택시,2629.0
2024,1,41250,동두천시,1502.0
2024,1,41271,안산시 상록구,1570.0
2024,1,41273,안산시 단원구,1191.0
2024,1,41281,고양시 덕양구,1030.0
2024,1,41285,고양시 일산동구,942.0
2024,1,41287,고양시 일산서구,1029.0
2024,1,41290,과천시,721.0
2024,1,41310,구리시,831.0
2024,1,41360,남양주시,1494.0
2024,1,41370,오산시,1434.0
2024,1,41390,시흥시,1420.0
2024,1,41410,군포시,1278.0
2024,1,41430,의왕시,754.0
2024,1,41450,하남시,855.0
2024,1,41461,용인시 처인구,1379.0
2024,1,41463,용인시 기흥구,1272.0
2024,1,41465,용인시 수지구,1360.0
2024,1,41480,파주시,1569.0
2024,1,41500,이천시,1295.0
2024,1,41550,안성시,1272.0
2024,1,41570,김포시,1491.0
2024,1,41590,화성시,1654.0
2024,1,41610,광주시,1575.0
2024,1,41630,양주시,1486.0
2024,1,41650,포천시,1415.0
2024,1,41670,여주시,1315.0
2024,1,41800,연천군,1629.0
2024,1,41820,가평군,1334.0
2024,1,41830,양평군,1207.0
